;Activity;Latitude;Longitude
576;active, inferred;-31.433;-111.967
577;active, confirmed;-31.85;-112.0333
578;inactive;-0.9767;-24.5133
579;active, inferred;-4.0333;-12.25
580;active, confirmed;-4.8058;-12.3742
581;active, inferred;-7.95;-13.442
582;active, inferred;-8.167;-13.467
583;active, confirmed;-8.3;-13.52
584;active, confirmed;-9.55;-13.18
585;active, confirmed;-13.28;-14.41
586;active, inferred;-13.59;-14.52
587;active, inferred;-14.03;-14.34
588;active, confirmed;-15.1666;-13.3558
589;active, inferred;-17.2522;-14.227
590;active, inferred;-19.3301;-11.9421
591;active, inferred;-23.7428;-13.3936
592;active, inferred;-25.335;-13.6305
593;active, inferred;-26.0166;-13.85
594;active, inferred;-27.1476;-13.4753
595;active, inferred;-27.7936;-13.373
596;active, inferred;-29.9505;-13.8545
597;active, inferred;-30.8327;-13.469
598;active, inferred;-31.7377;-13.3772
599;active, inferred;-32.9676;-14.4517
600;active, confirmed;4.8133;125.0816
601;active, inferred;3.7791;125.375
602;active, confirmed;3.138;125.491
603;active, confirmed;1.8;125.2
604;inactive;-28.0614;74.1733
605;active, inferred;-37.7217;77.825
606;active, inferred;-39.44;78.092
607;active, inferred;-41.0125;86.0608
608;active, inferred;-41.0716;86.155
609;active, inferred;-41.2025;81.0625
610;active, inferred;-41.223;86.3892
611;active, inferred;-41.242;81.158
612;active, inferred;-41.252;79.103
613;active, inferred;-41.5883;87.2615
614;active, inferred;-41.6498;87.3481
615;active, inferred;-41.66;81.6617
616;active, inferred;-41.7133;87.4375
617;active, inferred;-41.772;79.753
618;active, inferred;-41.802;81.838
619;active, inferred;-41.8333;87.6266
620;active, inferred;-41.8833;81.9816
621;active, inferred;-41.9508;87.8008
622;active, inferred;-41.9633;82.06
623;active, inferred;-42.005;87.8808
624;active, inferred;-42.0272;89.2205
625;active, inferred;-42.113;88.042
626;active, inferred;-42.477;82.71
627;active, inferred;-42.5375;82.8266
628;active, inferred;-42.66;83.0366
629;active, inferred;-43.0369;91.0357
630;active, inferred;-43.3115;92.1335
631;active, inferred;-43.6901;92.8451
632;active, inferred;-43.9805;93.4571
633;active, inferred;-44.7237;94.6039
634;active, inferred;-44.9054;94.9673
635;active, inferred;-46.624;96.0594
636;active, inferred;-46.8956;96.5709
637;active, inferred;-47.1196;96.8947
638;active, inferred;-47.2383;97.1566
639;active, inferred;-47.4145;97.4373
640;active, inferred;-47.6179;97.8678
641;active, inferred;-47.7009;98.0631
642;active, inferred;-47.7483;98.1756
643;active, inferred;-48.0048;98.8232
644;active, inferred;-50.25;137
645;active, inferred;-50.25;138.55
646;active, inferred;-50.25;138.3
647;active, inferred;-50.25;136.25
648;active, inferred;-50.25;135.3
649;active, inferred;-50.25;132.1
650;active, inferred;-50.25;131.9
651;active, inferred;-50.3;133.8
652;active, inferred;-50.4;134.3
653;active, inferred;-60;152.5
654;active, inferred;-62.1;158.8
655;active, inferred;-8.75;157.03
656;active, inferred;-8.9833;157.9667
657;active, inferred;-10.4;164.75
658;active, confirmed;-10.4667;164.25
659;active, inferred;-10.5;164
660;active, inferred;-59.4167;-27.3333
661;active, confirmed;-59.7;-28.3166
662;active, confirmed;-59.721;-27.8571
663;active, inferred;-27.767;65.133
664;inactive;-27.85;63.9333
665;active, inferred;-27.851;63.923
666;active, inferred;-27.917;64.45
667;active, confirmed;-27.967;63.55
668;active, inferred;-30.85;59.383
669;active, inferred;-31.067;58.967
670;active, inferred;-31.183;58.5
671;active, inferred;-36.101;53.255
672;active, inferred;-37.466;51.732
673;active, inferred;-37.5;51
674;active, inferred;-37.608;50.8527
675;active, inferred;-37.6579;50.4671
676;active, confirmed;-37.7838;49.6494
677;active, inferred;-37.8666;49.2166
678;active, inferred;-37.9;48.8
679;inactive;-37.94;49.26
680;active, inferred;-38.1;48.6
681;active, inferred;-52.208;15.583
682;active, inferred;-52.224;13.738
683;active, inferred;-52.253;15.103
684;active, inferred;-52.42;12.748
685;active, inferred;-52.437;13.312
686;active, inferred;-52.707;18.817
687;active, inferred;-52.749;11.711
688;active, inferred;-53.02;22.188
689;active, inferred;-2.8333;152.5333
690;active, confirmed;-3.1167;152.65
691;inactive;-3.25;152.66
692;active, inferred;-3.31;152.58
693;active, confirmed;-4.0833;153.55
694;active, confirmed;-37.5191;177.1953
695;active, confirmed;-37.68;177.117
696;active, confirmed;-37.86;176.98
697;active, confirmed;38.23;-26.63
698;active, confirmed;37.725;-25.316
699;active, confirmed;-15.0667;-173.5667
700;active, confirmed;-15.095;-173.75
701;active, inferred;-15.101;-173.678
702;active, confirmed;-15.165;-173.57
703;active, inferred;-17.24;-173.95
704;active, inferred;-19.45;-174.9167
705;active, inferred;-20.18;-175.2
706;active, inferred;-20.86;-175.55
707;active, confirmed;-21.15;-175.75
708;active, inferred;-22.067;-176.208
709;active, inferred;-22.8433;-176.4317
710;active, inferred;-23.575;-176.705
711;active, inferred;-23.9;-176.78
712;active, inferred;-24.1883;-176.8217
713;active, confirmed;-24.585;-176.917
714;active, confirmed;-24.8;-177.0167
715;active, confirmed;-25.8;-177.15
716;active, inferred;-25.887;-177.188
717;active, confirmed;39.26;14.378
718;inactive;12;131.417
719;active, inferred;-9.254;156.191
720;active, inferred;-9.8;155.0667
721;active, confirmed;-9.9083;151.83
