FID,Status,Title,Ident Code,Criteria Categories,Criteria,Qualifying Species,#Qualifying Species,Supporting Species,#Supporting Species,Region,Region Code,Location,Location Code,Area Square Kilometers,Month Submitted,Year Submitted,Month Classified,Year Classified,Month Modified,Year Modified,Details
53,IMMA,Macquarie Island Ridge IMMA,06EXSOOC182020IMMA,"Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","C1, C2, D2","Arctocephalus gazella, Arctocephalus tropicalis, Arctocephalus forsteri, Mirounga leonina, Orcinus orca",5,"Physeter macrocephalus, Megaptera novaeangliae, Eubalaena australis, Balaenoptera acutorostrata, Berardius arnuxii, Mesoplodon bowdoini, Mesoplodon layardii, Ziphius cavirostris, Globicephala melas, Phocoena dioptrica, Lissodelphis peronii",11,Extended Southern Ocean,EXSOOC,Macquarie Island,AUMI,11851,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/macquarie-island-ridge/
54,IMMA,New Zealand Subantarctic Islands IMMA,07EXSOOC182020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C1, C2","Phocarctos hookeri, Eubalaena australis, Arctocephalus forsteri, Mirounga leonina",4,"Lagenorhynchus obscurus, Lagenorhynchus cruciger, Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera musculus, Balaenoptera musculus brevicauda, Globicephala melas, Physeter macrocephalus, Orcinus orca, Hydrurga leptonyx",10,Extended Southern Ocean,EXSOOC,New Zealand,NZL,105928,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/new-zealand-subantarctic-islands/
55,IMMA,Prince Edward Islands and Western Oceanic Waters IMMA,08EXSOOC182020IMMA,Criterion C - Key Life Cycle Activities,"C1, C2","Mirounga leonina, Arctocephalus gazella, Arctocephalus tropicalis, Orcinus orca",4,"Hydrurga leptonyx, Globicephala melas edwardii, Physeter macrocephalus, Lagenorhynchus cruciger, Lagenorhynchus obscurus, Balaenoptera physalus, Balaenoptera borealis, Eubalaena australis, Mesoplodon layardii, Lissodelphis peronii",10,Extended Southern Ocean,EXSOOC,"Prince Edward Island, Marion Island, High Seas","ZAMI, ZAPE, ABNJ",2861819,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/prince-edward-islands-western-oceanic-waters/
56,IMMA,Ross Sea Ecosystem IMMA,09EXSOOC182020IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","B1, B2, C1, C2, C3, D1","Leptonychotes weddellii, Lobodon carcinophaga, Hydrurga leptonyx, Ommatophoca rossii, Orcinus orca, Balaenoptera bonaerensis, Berardius arnuxii",7,"Balaenoptera acutorostrata, Balaenoptera musculus intermedia, Balaenoptera physalus, Megaptera novaeangliae",4,Extended Southern Ocean,EXSOOC,"Antarctica, High Seas","ATA, ABNJ",1860969,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/ross-sea-ecosystem/
57,IMMA,Scotia Arc IMMA,10EXSOOC182020IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C2, D2","Eubalaena australis, Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera musculus, Balaenoptera borealis, Physeter macrocephalus",6,"Arctocephalus gazella, Leptonychotes weddellii, Mirounga leonina, Hydrurga leptonyx, Balaenoptera bonaerensis, Orcinus orca, Globicephala melas, Lagenorhynchus cruciger, Hyperoodon planifrons",9,Extended Southern Ocean,EXSOOC,South Georgia and the South Sandwich Islands,SGS,614480,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
58,IMMA,Scott Islands and Iselin Bank Complex IMMA,11EXSOOC182020IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C2, D2","Megaptera novaeangliae, Balaenoptera musculus, Balaenoptera physalus, Balaenoptera bonaerensis",4,"Lobodon carcinophaga, Globicephala melas edwardii, Hydrurga leptonyx, Mirounga leonina, Orcinus orca, Balaenoptera acutorostrata",6,Extended Southern Ocean,EXSOOC,"Antarctica, High Seas","ATA, ABNJ",765120,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/scott-islands-iselin-bank/
59,IMMA,South Georgia IMMA,12EXSOOC182020IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","B2, C1, C2, D1","Arctocephalus gazella, Leptonychotes weddellii, Mirounga leonina",3,Hydrurga leptonyx,1,Extended Southern Ocean,EXSOOC,South Georgia and the South Sandwich Islands,SGS,423425,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/south-georgia/
60,IMMA,Western Antarctic Peninsula and Islands IMMA,13EXSOOC182020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C2, D1, D2","Megaptera novaeangliae, Balaenoptera physalus, Balaenoptera bonaerensis, Orcinus orca, Arctocephalus gazella, Mirounga leonina, Hydrurga leptonyx, Lobodon carcinophaga, Leptonychotes weddellii",9,"Balaenoptera borealis, Balaenoptera musculus intermedia, Balaenoptera acutorostrata, Eubalaena australis, Hyperoodon planifrons, Berardius arnuxii, Lagenorhynchus cruciger",7,Extended Southern Ocean,EXSOOC,Antarctica,ATA,2441313,10,2018,5,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/western-antarctic-peninsula-islands/
61,IMMA,Akamas and Chrysochou Bay IMMA,01MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1",Monachus monachus,1,NULL,NULL,Mediterranean,MEDSEA,Cyprus,CYP,284,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/akamas-chrysochou-bay/
62,IMMA,Akrotiri IMMA,02MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1",Monachus monachus,1,NULL,NULL,Mediterranean,MEDSEA,Cyprus,CYP,45,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/akrotiri/
63,IMMA,Alboran Corridor IMMA,03MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C3","Balaenoptera physalus, Physeter macrocephalus",2,"Orcinus orca, Stenella coeruleoalba, Delphinus delphis, Tursiops truncatus, Globicephala melas",5,Mediterranean,MEDSEA,"Gibraltar, Morocco, Spain","GIB, MCO, ESP",20217,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/alboran-corridor/
64,IMMA,Alboran Deep IMMA,04MEDSEA161718IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, C2, D2","Globicephala melas, Grampus griseus, Physeter macrocephalus, Ziphius cavirostris",4,"Balaenoptera physalus, Delphinus delphis, Tursiops truncatus",3,Mediterranean,MEDSEA,"Morocco, Spain","DZA, MCO, ESP",22660,10,2016,5,2017,1,2018,https://www.marinemammalhabitat.org/portfolio-item/alboran-deep/
65,IMMA,Alboran Sea IMMA,05MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, C2, D1, D2","Delphinus delphis, Tursiops truncatus",2,"Balaenoptera physalus, Globicephala melas, Orcinus orca, Grampus griseus, Physeter macrocephalus, Ziphius cavirostris, Stenella coeruleoalba",7,Mediterranean,MEDSEA,"Gibraltar, Morocco, Spain, Algeria","GIB, MCO, ESP",55938,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/alboran-sea/
66,IMMA,Balearic Islands Shelf and Slope IMMA,06MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2",Physeter macrocephalus,1,"Stenella coeruleoalba, Tursiops truncatus, Grampus griseus, Globicephala melas, Delphinus delphis",5,Mediterranean,MEDSEA,Spain,ESP,22708,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/balearic-islands-shelf-slope/
67,IMMA,Campanian and Pontino Archipelago IMMA,07MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2",Physeter macrocephalus,1,"Balaenoptera physalus, Grampus griseus, Physeter macrocephalus, Stenella coeruleoalba",4,Mediterranean,MEDSEA,Italy,ITA,4948,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/campanian-pontino-archipelago/
68,IMMA,Central Aegean IMMA,08MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1",Monachus monachus,1,"Delphinus delphis, Tursiops truncatus, Stenella coeruleoalba",3,Mediterranean,MEDSEA,"Greece, Turkey","GRC, TUR",58265,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/central-aegean/
69,IMMA,Chios and Turkish Coast IMMA,09MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1",Monachus monachus,1,NULL,NULL,Mediterranean,MEDSEA,"Greece, Turkey","GRC, TUR",3838,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/chios-turkish-coast/
70,IMMA,Cilician Basin IMMA,10MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1",Monachus monachus,1,NULL,NULL,Mediterranean,MEDSEA,Turkey,TUR,714,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/cilician-basin/
71,IMMA,Coastal Shelf Waters of the South East Levatine Sea IMMA,11MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, C2, D1","Tursiops truncatus, Delphinus delphis",2,Monachus monachus,1,Mediterranean,MEDSEA,"Israel, Lebanon, Palestine","ISR, LBN, PSE",3813,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/coastal-shelf-waters-southeast-levantine-sea/
72,IMMA,Gulf of Ambracia IMMA,12MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, D1",Tursiops truncatus,1,NULL,NULL,Mediterranean,MEDSEA,Greece,GRC,401,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/gulf-of-ambracia/
73,IMMA,Gulf of Corinth IMMA,13MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C2, D1","Stenella coeruleoalba, Delphinus delphis",2,"Tursiops truncatus, Grampus griseus, Monachus monachus",3,Mediterranean,MEDSEA,Greece,GRC,2379,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/gulf-of-corinth/
74,IMMA,Hellenic Trench IMMA,14MEDSEA161718IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C2, D1, D2","Physeter macrocephalus, Ziphius cavirostris",2,"Stenella coeruleoalba, Grampus griseus, Delphinus delphis, Tursiops truncatus, Monachus monachus",5,Mediterranean,MEDSEA,"Greece, Turkey","GRC, TUR",56600,10,2016,5,2017,1,2018,https://www.marinemammalhabitat.org/portfolio-item/hellenic-trench/
75,IMMA,Ionian Archipelago IMMA,15MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities,","A, B1, C1, C2","Delphinus delphis, Monachus monachus",2,"Balaenoptera physalus, Tursiops truncatus, Ziphius cavirostris",3,Mediterranean,MEDSEA,"Albania, Greece","ALB, GRC",9606,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/ionian-archipelago/
76,IMMA,Kelibia IMMA,16MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C1, C2",Tursiops truncatus,1,NULL,NULL,Mediterranean,MEDSEA,Tunisia,TUN,348,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/kelibia/
77,IMMA,Lampedusa IMMA,17MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C1, C2","Balaenoptera physalus, Tursiops truncatus",2,"Delphinus delphis, Stenella coeruleoalba",2,Mediterranean,MEDSEA,"Italy, Tunisia","ITA, TUN",17527,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/lampedusa/
78,IMMA,"North West Mediterranean Sea, Slope and Canyon System IMMA",18MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, C2, D2","Balaenoptera physalus, Physeter macrocephalus, Grampus griseus",3,"Stenella coeruleoalba, Globicephala melas, Delphinus delphis, Ziphius cavirostris, Tursiops truncatus",5,Mediterranean,MEDSEA,"France, Italy, Monaco, Spain","FRA, ITA, MCO, ESP",145297,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/north-western-mediterranean-sea-slope-canyon-system/
79,IMMA,Northern Adriatic IMMA,19MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, D1",Tursiops truncatus,1,NULL,NULL,Mediterranean,MEDSEA,"Croatia, Italy, Slovenia","HRV, ITA, SVN",33437,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/northern-adriatic/
80,IMMA,Northern Coast and Islands of the Thracian Sea IMMA,20MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2",Phocoena phocoena,1,"Delphinus delphis, Tursiops truncatus, Stenella coeruleoalba, Monachus monachus",4,Mediterranean,MEDSEA,"Greece, Turkey","GRC, TUR",5441,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/northern-coast-thracian-sea/
81,IMMA,Northern Coast of Cyprus IMMA,21MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2",Monachus monachus,1,NULL,NULL,Mediterranean,MEDSEA,Cyprus,CYP,518,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/northern-coast-cyprus/
82,IMMA,Northern Sporades IMMA,22MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1",Monachus monachus,1,"Delphinus delphis, Tursiops truncatus, Stenella coeruleoalba, Grampus griseus, Ziphius cavirostris, Physeter macrocephalus",6,Mediterranean,MEDSEA,Greece,GRC,10623,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/northern-sporades/
83,IMMA,Shelf of the Gulf of Lion IMMA,23MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2",Tursiops truncatus,1,"Balaenoptera physalus, Tursiops truncatus, Stenella coeruleoalba, Grampus griseus, Ziphius cavirostris, Physeter macrocephalus",6,Mediterranean,MEDSEA,"France, Spain","FRA, ESP",13003,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/shelf-gulf-lion/
84,IMMA,Strait of Gibraltar and Gulf of Cadiz IMMA,24MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, C2, D1, D2",Orcinus orca,1,"Tursiops truncatus, Stenella coeruleoalba, Globicephala melas, Delphinus delphis, Grampus griseus, Physeter macrocephalus, Balaenoptera physalus",7,Mediterranean,MEDSEA,"Morocco, Spain","GIB, MCO, ESP",4538,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/strait-gibraltar-gulf-cadiz/
85,IMMA,Waters of Ischia and Ventotene IMMA,25MEDSEA161717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2","Balaenoptera physalus, Tursiops truncatus, Delphinus delphis",3,"Physeter macrocephalus, Grampus griseus, Stenella coeruleoalba",3,Mediterranean,MEDSEA,Italy,ITA,1068,10,2016,5,2017,5,2017,https://www.marinemammalhabitat.org/portfolio-item/waters-ischia-ventotene/
86,IMMA,Western Ligurian Sea and Genoa Canyon IMMA,26MEDSEA161718IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, B2, C1, C2",Ziphius cavirostris,1,"Stenella coeruleoalba, Physeter macrocephalus, Globicephala melas, Balaenoptera physalus, Grampus griseus",5,Mediterranean,MEDSEA,"France, Italy","FRA, ITA",8526,10,2016,5,2017,1,2018,https://www.marinemammalhabitat.org/portfolio-item/western-ligurian-sea-genoa-canyon/
87,IMMA,Babuyan Marine Corridor IMMA,01NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, C2, D2","Megaptera novaeangliae, Steno bredanensis",2,"Physeter macrocephalus, Globicephala macrorhynchus, Pseudorca crassidens, Feresa attenuata, Peponocephala electra, Kogia sima, Stenella attenuata, Stenella longirostris, Tursiops truncatus, Grampus griseus, Lagenodelphis hosei",11,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Philippines,PHL,16893,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/babuyan-marine-corridor/
88,IMMA,"Balikpapan, Adang and Apar Bays IMMA",02NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, C2, D1","Orcaella brevirostris, Dugong dugon",2,"Neophocaena phocaenoides, Tursiops aduncus",2,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,6285,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/balikpapan-adang-apar-bays/
89,IMMA,"Berau and East Kutai District, Kalimantan IMMA",03NIOSEA181920IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, C2, D2","Orcaella brevirostris, Sousa chinensis, Physeter macrocephalus",3,"Balaenoptera omurai, Delphinus delphis tropicalis, Delphinus delphis, Dugong dugon, Feresa attenuata, Globicephala macrorhynchus, Grampus griseus, Kogia sima, Kogia breviceps, Lagenodelphis hosei, Megaptera novaeangliae, Neophocaena phocaenoides, Orcinus orca, Peponocephala electra, Pseudorca crassidens, Stenella longirostris, Stenella longirostris roseiventris, Stenella attenuata, Stenella coeruleoalba, Tursiops aduncus, Steno bredanensis, Tursiops truncatus, Ziphius cavirostris",23,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,19470,3,2018,1,2019,7,2020,https://www.marinemammalhabitat.org/portfolio-item/berau-east-kutai-district/
90,IMMA,Bintuni Bay IMMA,04NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C2",Sousa sahulensis,1,"Stenella longirostris, Tursiops aduncus, Tursiops truncatus, Balaenoptera edeni",4,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,5558,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/bituni-bay-west-papua/
91,IMMA,Bohol Sea IMMA,05NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion D - Special Attributes","A, B2, D2","Balaenoptera musculus, Physeter macrocephalus, Peponocephala electra, Lagenodelphis hosei",4,"Balaenoptera edeni, Balaenoptera omurai, Feresa attenuata, Grampus griseus, Globicephala macrorhynchus, Kogia sima, Kogia breviceps, Mesoplodon densirostris, Orcinus orca, Pseudorca crassidens, Stenella attenuata, Stenella longirostris, Stenella longirostris roseiventris, Steno bredanensis, Tursiops truncatus",15,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Philippines,PHL,29517,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/bohol-sea/
92,IMMA,Buleleng IMMA,06NIOSEA181919IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","B2, C1","Stenella longirostris, Lagenodelphis hosei",2,"Grampus griseus, Globicephala macrorhynchus, Stenella attenuata, Tursiops truncatus",4,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,583,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/buleleng/
93,IMMA,Chilika Lagoon IMMA,07NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1",Orcaella brevirostris,1,NULL,NULL,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,India,IND,319,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/chilika-lagoon/
94,IMMA,Coastal Northern Bay of Bengal IMMA,08NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, D1","Orcaella brevirostris, Sousa chinensis, Neophocaena phocaenoides",3,"Balaenoptera edeni, Tursiops aduncus",2,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"Bangladesh, India","BGD, IND",40112,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/coastal-northern-bay-bengal/
95,IMMA,Con Dao IMMA,09NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C2",Dugong dugon,1,Kogia breviceps,1,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Vietnam,VNM,869,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/con-dao/
96,IMMA,Eastern Lesser Sunda Islands and Timor Coastal Area IMMA,10NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C2",Dugong dugon,1,"Stenella attenuata, Peponocephala electra, Grampus griseus",3,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"Timor-Leste, Indonesia","IDN, TLS",1260,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/lesser-sunda-timor-coast/
97,IMMA,Gulf of Mannar and Palk Bay IMMA,11NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C2",Dugong dugon,1,NULL,NULL,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"India, Sri Lanka","IND, LKA",20663,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/gulf-mannar-palk-bay/
98,IMMA,Iloilo and Guimaras Straits IMMA,12NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, B1",Orcaella brevirostris,1,"Tursiops aduncus, Grampus griseus, Pseudorca crassidens, Kogia sima, Stenella attenuata, Dugong dugon, Globicephala macrorhynchus",7,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Philippines,PHL,340,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/iloilo-guimaras-straits/
99,IMMA,"Kaimana, West Papua IMMA",13NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C2","Sousa sahulensis, Tursiops aduncus, Balaenoptera edeni, Dugong dugon",4,"Stenella longirostris, Stenella attenuata",2,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,2173,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/kaimana-west-papua/
100,IMMA,Kien Giang and Kep Archipelago IMMA,14NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C2","Orcaella brevirostris, Dugong dugon",2,"Neophocaena phocaenoides, Tursiops aduncus, Pseudorca crassidens, Sousa chinensis, Stenella attenuata, Balaenoptera edeni",6,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"Cambodia, Vietnam","KHM, VNM",8889,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/kien-giang-kep-archipelago/
101,IMMA,Kuching Bay IMMA,15NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1","Orcaella brevirostris, Sousa chinensis, Neophocaena phocaenoides",3,Tursiops aduncus,1,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Malaysia,MYS,475,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/kuching-bay/
102,IMMA,Malampaya Sound IMMA,16NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion D - Special Attributes","A, B1, D1",Orcaella brevirostris,1,Tursiops truncatus,1,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Philippines,PHL,197,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/malampaya-sound/
103,IMMA,Matang Mangroves and Coastal Waters IMMA,17NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1, C2","Orcaella brevirostris, Sousa chinensis, Neophocaena phocaenoides",3,"Tursiops aduncus, Stenella longirostris",2,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Malaysia,MYS,2386,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/matang-mangroves-coastal-waters/
104,IMMA,Mersing Archipelago IMMA,18NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, C2, D1",Dugong dugon,1,"Neophocaena phocaenoides, Orcaella brevirostris, Sousa chinensis, Tursiops aduncus, Delphinus delphis tropicalis",5,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Malaysia,MYS,1244,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/mersing-archipelago/
105,IMMA,Satun-Langkawi Archipelago IMMA,19NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1, C2","Orcaella brevirostris, Sousa chinensis, Neophocaena phocaenoides",3,"Dugong dugon, Stenella longirostris, Tursiops aduncus, Balaenoptera edeni",4,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"Malaysia, Thailand","MYS, THA",5493,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/satun-langkawi-archipelago/
